,Make,Name,Transmission,Engine Type,Engine Capacity(CC),Mileage(kms),City,Year,Price
0,Honda,BR-V   i-VTEC S ,Automatic,Petrol,1500.0,41371,Karachi,2017,3150000.0
1,Toyota,Corolla   Altis Automatic 1.6 ,Automatic,Petrol,1600.0,2460,Karachi,2021,3575000.0
2,Toyota,Vitz   F Limited II 1.0 ,Automatic,Petrol,1000.0,67000,Karachi,2014,1955000.0
3,Daihatsu,Move   Custom X Limited ,Automatic,Petrol,660.0,64000,Lahore,2013,1450000.0
4,Toyota,Prado   TX L Package 2.7 ,Automatic,Petrol,2700.0,64000,Lahore,2016,19000000.0
5,Range,Rover Sport   Supercharged 4.2 V8 fo...,Automatic,Petrol,4200.0,140000,Rawalpindi,2009,8000000.0
6,Toyota,Passo   Moda G ,Automatic,Petrol,1000.0,23000,Peshawar,2019,2650000.0
7,Suzuki,Alto   VXR (CNG) ,Manual,CNG,1000.0,87000,Karachi,2006,750000.0
8,Mercedes,Benz E Class 3rd (W211) Generation 20...,Automatic,Petrol,2600.0,168000,Karachi,2005,3100000.0
9,Honda,Civic   Oriel 1.8 i-VTEC CVT ,Automatic,Petrol,1800.0,83000,Peshawar,2018,3650000.0
10,Honda,BR-V   i-VTEC S ,Automatic,Petrol,1500.0,41000,Peshawar,2018,3100000.0
11,Suzuki,Mehran   VX Euro II ,Manual,Petrol,800.0,56000,Rawalpindi,2016,798000.0
12,Toyota,Corolla   Altis Grande CVT-i 1.8 fo...,Automatic,Petrol,1800.0,43000,Multan,2017,3500000.0
13,Suzuki,Ciaz   Manual ,Manual,Petrol,1400.0,94000,Islamabad,2017,2080000.0
14,Toyota,Corolla 9th Generation  XLi ,Manual,Petrol,1300.0,200000,Okara,2007,1200000.0
15,Toyota,Corolla   GLi 1.3 VVTi ,Manual,Petrol,1300.0,50000,Mian Wali,2019,3250000.0
16,Toyota,Vitz    ,Automatic,Petrol,1000.0,133000,Karachi,1999,1175000.0
17,Toyota,Corolla   GLi 1.3 VVTi ,Manual,Petrol,1300.0,111561,Rahim Yar Khan,2013,1600000.0
18,Daihatsu,Mira   X ,Automatic,Petrol,660.0,140000,Faisalabad,2006,1050000.0
19,Toyota,Corolla   Altis Grande CVT-i 1.8 fo...,Automatic,Petrol,1800.0,25000,Lahore,2017,3550000.0
20,Honda,Civic Reborn  VTi Oriel Prosmatec 1....,Automatic,Petrol,1800.0,96000,Lahore,2007,1700000.0
21,Toyota,Land Cruiser   AX ,Automatic,Petrol,4600.0,68000,Karachi,2016,27500000.0
22,Toyota,Corolla   XLi VVTi ,Manual,Petrol,1300.0,135000,Lahore,2011,1700000.0
23,BMW,3 Series 4th (E46) Generation  318i fo...,Manual,Petrol,2000.0,90000,Karachi,2001,2550000.0
24,Suzuki,Alto   VXR ,Manual,Petrol,1000.0,135000,Attock,2007,869999.9999999999
25,Suzuki,Alto   VXR (CNG) ,Manual,Petrol,1000.0,143500,Rawalpindi,2008,830000.0000000001
26,Suzuki,Bolan    ,Manual,Petrol,800.0,5700,Rawalpindi,2007,670000.0
27,Daihatsu,Atrai Wagon   CUSTOM TURBO RS LIM...,Automatic,Petrol,660.0,120000,Peshawar,2008,1050000.0
28,Honda,Civic   Oriel 1.8 i-VTEC CVT ,Automatic,Petrol,1800.0,27500,Lahore,2017,3595000.0000000005
29,Toyota,Corolla   Altis Automatic 1.6 ,Automatic,Petrol,1600.0,15000,Islamabad,2021,3680000.0
30,Suzuki,Cultus   VXRi ,Manual,Petrol,1000.0,150000,Lahore,2007,620000.0
31,Suzuki,Alto   VXR ,Manual,Petrol,1000.0,115000,Islamabad,2011,910000.0
32,Toyota,Corolla   GLi 1.3 VVTi ,Manual,Petrol,1300.0,98000,Lahore,2012,1900000.0
33,Suzuki,Cultus   VXRi (CNG) ,Manual,Petrol,1000.0,100000,Karachi,2008,775000.0
34,Suzuki,Cultus   VXRi ,Manual,Petrol,1000.0,80000,Sargodha,2012,1065000.0
35,Toyota,Vitz   F 1.0 ,Automatic,Petrol,1000.0,152000,Peshawar,2006,1600000.0
36,Suzuki,Cultus   VXR (CNG) ,Manual,CNG,1000.0,86389,Karachi,2006,819999.9999999999
37,Daihatsu,Mira   Custom L ,Automatic,Petrol,660.0,67000,Karachi,2013,1350000.0
38,Toyota,Corolla   Altis Grande CVT-i 1.8 fo...,Automatic,Petrol,1800.0,51000,Peshawar,2019,3950000.0
39,Toyota,Vitz   F 1.3 ,Automatic,Petrol,1300.0,78000,Peshawar,2006,1600000.0
40,Toyota,Corolla   Altis Grande CVT-i 1.8 fo...,Automatic,Petrol,1800.0,32000,Lahore,2019,3925000.0
41,Honda,Fit   1.5 Hybrid F Package ,Automatic,Hybrid,1500.0,50000,Gujranwala,2016,2650000.0
42,Honda,Vezel   Hybrid Z ,Automatic,Hybrid,1500.0,100000,Gujranwala,2016,4300000.0
43,Toyota,Rav4   Style S Package ,Automatic,Petrol,2400.0,110000,Islamabad,2010,3725000.0
44,Honda,City   Aspire 1.3 i-VTEC ,Manual,Petrol,1300.0,119000,Islamabad,2014,2090000.0
45,Honda,Fit   1.5 Hybrid S Package ,Automatic,Hybrid,1500.0,76000,Islamabad,2016,3350000.0
46,Suzuki,Wagon R   VXR ,Manual,Petrol,1000.0,68000,Multan,2018,1550000.0
47,Toyota,Vitz    ,Automatic,Hybrid,1000.0,58348,Lahore,2018,2820000.0
48,Toyota,Vitz   Jewela 1.0 ,Automatic,Petrol,1000.0,80000,Karachi,2012,1795000.0
49,Honda,Civic Rebirth  Oriel Prosmatec UG fo...,Automatic,Petrol,1800.0,50400,Karachi,2015,2525000.0
50,Toyota,Corolla   GLi Automatic 1.3 VVTi fo...,Automatic,Petrol,1300.0,15000,Peshawar,2019,3250000.0
51,Toyota,Corolla   Altis Automatic 1.6 ,Automatic,Petrol,1600.0,2460,Karachi,2021,3575000.0
52,Toyota,Corolla   XL ,Manual,Petrol,1300.0,200000,Rawalpindi,1990,675000.0
53,Toyota,Vitz   F Limited II 1.0 ,Automatic,Petrol,1000.0,67000,Karachi,2014,1955000.0
54,Toyota,Land Cruiser   ZX ,Automatic,Petrol,4600.0,29000,Karachi,2016,33300000.0
55,Honda,Civic   VTi Oriel Prosmatec 1.8 i-VT...,Automatic,Petrol,1800.0,81000,Karachi,2012,2235000.0
56,Suzuki,Alto   VXR ,Manual,Petrol,660.0,10,Gujrat,2021,1664999.9999999998
57,Toyota,Corolla   Altis Automatic 1.6 ,Automatic,Petrol,1600.0,100000,Fateh Jang,2017,2810000.0
58,Suzuki,Alto   VXR ,Manual,Petrol,1000.0,95000,Karachi,2012,770000.0
59,Daihatsu,Hijet   Deluxe ,Automatic,Petrol,660.0,14000,Multan,2012,1050000.0
60,Suzuki,Cultus   VXLi ,Manual,Petrol,1000.0,88000,Karachi,2015,1150000.0
61,Honda,Civic   VTi Oriel Prosmatec 1.6 for ...,Automatic,Petrol,1600.0,150000,Hyderabad,2003,1220000.0
62,Honda,Civic Reborn  VTi Oriel Prosmatec 1....,Automatic,Petrol,1800.0,78000,Islamabad,2011,2250000.0
63,Suzuki,Mehran   VXR Euro II ,Manual,Petrol,800.0,45000,Rawalpindi,2017,950000.0
64,Toyota,"Prado   TX L Package 2.7 
10/10",Automatic,Petrol,2700.0,21981,Gujranwala,2017,25000000.0
65,Toyota,Yaris   ATIV X CVT 1.5 ,Automatic,Petrol,1500.0,6700,Karachi,2021,3225000.0
66,Honda,Civic Rebirth  VTi Prosmatec 1.8 i-V...,Automatic,Petrol,1800.0,140000,Lahore,2013,2400000.0
67,Toyota,Vitz   F 1.0 ,Automatic,Petrol,1000.0,61000,Gujranwala,2015,2295000.0
68,Suzuki,Swift   DLX 1.3 ,Manual,Petrol,1300.0,112000,Karachi,2010,1145000.0
69,Daihatsu,Mira    ,Automatic,Petrol,660.0,51000,Peshawar,2018,2165000.0
70,Honda,Civic   Oriel Prosmatec UG ,Automatic,Petrol,1800.0,97000,Peshawar,2012,2550000.0
71,Toyota,Prius   A Premium Touring Selection...,Automatic,Petrol,1800.0,78000,Islamabad,2016,4750000.0
72,Suzuki,Cultus   Limited Edition ,Manual,Petrol,1000.0,81000,Karachi,2016,1225000.0
73,Toyota,Allion   A15 ,Automatic,Petrol,1500.0,88000,Islamabad,2011,3200000.0
74,Toyota,Wish   1.8S ,Automatic,Petrol,1800.0,160000,Islamabad,2007,2300000.0
75,Honda,Civic   Oriel 1.8 i-VTEC CVT ,Automatic,Petrol,1800.0,65000,Peshawar,2019,3900000.0
76,Toyota,Corolla   XLi VVTi ,Manual,Petrol,1300.0,35000,Islamabad,2020,2650000.0
77,KIA,Sportage   FWD ,Automatic,Petrol,2000.0,36000,Lahore,2020,5075000.0
78,Suzuki,Liana   RXi ,Manual,Petrol,1300.0,106000,Rawalpindi,2006,1075000.0
79,Toyota,Prius   S LED Edition 1.8 ,Automatic,Petrol,1800.0,135000,Islamabad,2013,2925000.0
80,Hyundai,Sonata    ,Automatic,Petrol,2500.0,45,Lahore,2021,8150000.0
81,MG,HS   eHS ,Automatic,Hybrid,1500.0,34,Islamabad,2021,6490000.000000001
82,Toyota,Prius   S LED Edition 1.8 ,Automatic,Petrol,1800.0,105000,Islamabad,2014,3450000.0
83,Suzuki,Mehran   VXR ,Manual,Petrol,800.0,14,Lahore,2012,650000.0
84,Honda,City   1.3 i-VTEC ,Manual,Petrol,1300.0,19300,Islamabad,2013,2080000.0
85,Suzuki,Cultus   Limited Edition ,Manual,Petrol,1000.0,85000,Bahawalpur,2016,1200000.0
86,Honda,Civic Eagle Eye  EXi ,Manual,Petrol,1500.0,172776,Attock,2005,1400000.0
87,Toyota,Land Cruiser 100 Series  VX Limited...,Automatic,Petrol,4700.0,164000,Faisalabad,1999,5400000.0
88,Toyota,Corolla   2.0D Special Edition for ...,Manual,Diesel,2000.0,182000,Multan,2001,980000.0
89,Toyota,Corolla   Altis Grande X CVT-i 1.8 ...,Automatic,Petrol,1800.0,15,Multan,2021,4500000.0
